id	filename	md5	size	state
072f2d4e-db08-40c2-891a-9199e47fcac3	072f2d4e-db08-40c2-891a-9199e47fcac3/ce5fb607-99c5-457f-9022-df38b540fce6.rna_seq.augmented_star_gene_counts.tsv	f1a66dbce36538f462d51a94efca7fc6	4236559	validated
07eb895e-6da0-47c1-8ffe-7eb08590ceb2	07eb895e-6da0-47c1-8ffe-7eb08590ceb2/faf1ed5a-8f73-459c-9643-1fff99d7f52c.rna_seq.augmented_star_gene_counts.tsv	6d106b7de52bb679d9fbc40816cb624f	4238336	validated
09eb3365-4c9a-405e-8eca-bf305bf58459	09eb3365-4c9a-405e-8eca-bf305bf58459/e86978cb-3699-449d-938a-9fa65bb8ca93.rna_seq.augmented_star_gene_counts.tsv	eaa32c3453eda3a21677d37afb352683	4202267	validated
0a03d507-6e1e-4a3d-8a9f-2e37e2a8635f	0a03d507-6e1e-4a3d-8a9f-2e37e2a8635f/8de40a6b-b3b4-4b13-b048-859477c4a10c.rna_seq.augmented_star_gene_counts.tsv	2d9ad18dfd29bb88e8a68863cde12a63	4218870	validated
0c16f032-388e-42d2-9f49-f66542199e7e	0c16f032-388e-42d2-9f49-f66542199e7e/137dc9d0-f622-4dd7-8f7a-76bb7c77a862.rna_seq.augmented_star_gene_counts.tsv	6a4753ee0f59f41972cd51676ab60308	4220324	validated
11f01895-25a7-40d1-9ea5-9a37c6e46d58	11f01895-25a7-40d1-9ea5-9a37c6e46d58/77a43b75-1bf6-41a5-a41b-c86cd952847a.rna_seq.augmented_star_gene_counts.tsv	7d653c0d5d78dd74d73151404eb66401	4226579	validated
19fe25be-3fd2-41ac-a93d-9537cd49726d	19fe25be-3fd2-41ac-a93d-9537cd49726d/58e3c233-b043-4c94-8d2a-c301418f5431.rna_seq.augmented_star_gene_counts.tsv	b6cd2d5ef32cf25d89f67d5951e4a7b5	4212137	validated
1fca3dc9-0ca0-4ef3-870b-c6abdb3599d7	1fca3dc9-0ca0-4ef3-870b-c6abdb3599d7/220551cd-5823-483d-91e3-d6180ee9ea24.rna_seq.augmented_star_gene_counts.tsv	dee488a0ec2f3a844e2a175316748e28	4263176	validated
1fd8940a-2164-457d-8bb5-56bdca455920	1fd8940a-2164-457d-8bb5-56bdca455920/c6b19557-c118-4abb-9de5-042aa1614c53.rna_seq.augmented_star_gene_counts.tsv	d735b16f8c66aac98c769f1cec472260	4234190	validated
225bdd57-e834-40d2-a297-2f65c5bc5bbf	225bdd57-e834-40d2-a297-2f65c5bc5bbf/1ba75deb-99d3-4563-8229-83fe07da46f5.rna_seq.augmented_star_gene_counts.tsv	8b08c22c9640d8baed8aa87ee3587c1c	4220402	validated
